SNo,Project Name,Scheme Name,PI Details
1,ISRO-IIT (BOMBAY) Space Technology Cell,Space Science Promotion,"Head, Centre of Studies in Resources Engineering"
2,Bharati Centre for Communications,Centre,Bikash Kumar Dey
3,Experimental and computational studies of the conjugates of calixarenes as receptors towards ions and molecules including those of lanthanide and actinides: Establishing the structural features of the species of recognition by ab initio methods including density functional theory.,Grant-in- Aid,Chebrolu Pulla Rao
4,New symmeteries beyond the electroweak scale,SERC,Urjit Ajitlal Yajnik
5,Reliability of HiK/MG,-,Souvik Mahapatra
6,Nanoscale Fabrication of aligned Nano-architectured Copper current collectors covered with Metal Phosphides as anode for Next generation Lithium-ion battery Applications.,Nano Mission,Sagar Mitra
7,CDEEP Facilities,-,"Head, Centre for Distance Engineering Education Program"
8,"Direct Observations on Microstructural/Microtextural Developments, in Zr based Alloys, during Annealing & Irradiation",Grant-in- Aid,Indradev Samajdar
9,Comparative genomics analyses of glycosylation pathways in completely sequenced bacterial genomes,Grant-in- Aid,Petety V Balaji
10,Synthesis of uranium co-ordination complexes and probing its electronic and magnetic properties,DAE Young Scientist Research Award,Maheswaran Shanmugam
11,"G-Quadruplex DNA Stabilizing Agents Based on Novel Bisbenzimidazole Derivatives of 1,8-Naphthyridine: Synthesis, Biophysical, Biochemical and Computational Studies",Grant-in- Aid,Pradeep Kumar P. I.
12,Monolithic Integration of High Performance Germanium based Infrared Detector on Silicon,-,Apurba Laha
13,Financial Assistance to the Department of Metallurgical Engineering & Materials Science IIT Bombay on FIST program,FIST (Fund for Improve ment S&T Infrastruc ture),Rajiv Onkar Dusane
14,TCS Research Scholar program,TCS Research Scholar program,"Head, Computer Science & Engineering"
15,National Centre for Mathematics (NCM) IITB - TIFR Joint project,-,Jugal Kishore Verma
16,Improvement on Impulse fatigue life of Ti-Half Alloy for LCA application,-,Indradev Samajdar
17,Plasmodium falciparum glutathione peroxidase: sub-cellular localization in multiple compartments,Grant-in- Aid,Swati Arvind Patankar
18,DS Foundation IITBombay Entrepreneurship Centre,-,"Head, Desai Sethi School of Entrepreneurship (DSSE)"
19,Solid-Supported Aminoindanol Organocatalysts: Synthesis and Catalytic Applications for Asymmetric Transformations. An Approach for the Synthesis of Bioactive Heterocycles and Natural Products,-,Debabrata Maiti
20,e-Yantra-Robot enhanced teaching in engineering colleges and schools (Phase 2),NMEICT (National Mission on Education Through ICT),Kavi Jitendra Arya
21,Synchrophasor Analytics for Electrical Transmission Systems,-,Shreevardhan Arunchandra Soman
22,Biomedical Engineering and Technology Centre (BETC) Incubation,-,Parag Kishore Bhargava
23,Mathematical modeling of device reliability,Ireland,Souvik Mahapatra
24,Cellular Programming using Bioactive Scaffolds for Immunotherapy,Research & Development - Medical Biotechn ology & Related Areas,Prakriti Tayalia
