SNo,Project Name,Scheme Name,PI Details
1,Decision Fusion Technique for a Multisensorial Context for Ensuring Applications in Fault Diagnostics and Decision Support System,Aeronautics Research & Development Board - Others,Amit R K
2,Role of Transition Metal Borate Complexes in Hydroboration and Hydrosilylation Reactions,Council of Scientific and Industrial Research - Others,Sundargopal Ghosh
3,Non-Precious Transition Metal Complexes of NHC-based Pincer Ligands: Synthesis and Catalytic Applications in Diverse Organic Transformations,Council of Scientific and Industrial Research - CAPACITY BUILDING AND HUMAN RESOURCE DEVELOPMENT -1827,Arnab Rit
4,Nanoengineered Self-Healing Bioink For Diabetic Wound Repair,Council of Scientific and Industrial Research - Council of Scientific and Industrial Research - SRF Direct,Vignesh MuthuVijayan
5,Synthesis of Natural Product Inspired Anti-inflammatory Targets,Council of Scientific and Industrial Research - CAPACITY BUILDING AND HUMAN RESOURCE DEVELOPMENT -1827,Indrapal Singh Aidhen
6,"IR Reflective Polymer/PCM Encapsulations for Rendering Perovskite Photovolataics Environmentally Robust: aging, durability and efficiency studies through solar simulations, spectroscopy and ab initio simulations",Department of Science & Technology - Research and Development -3237,Tiju Thomas
7,Natural and Artificial Porous Materials Filled with Liquid and Solid Dielectrics,Department of Science & Technology - Research and Development -3237,Ravi Kumar N V
8,Process Demonstration of Continuous Hydrothermal Liquefaction for Conversion of Agri and Municipal Solid Wastes to High Value Bio-Crude and Bio-Char,"Department of Science & Technology - INNOVATION, TECHNOLOGY DEVELOPMENT AND DEPLOYMENT -1819",Vinu R
9,Teach in 10: Discovering Talents in Rural School Students,"Department of Science & Technology - INNOVATION, TECHNOLOGY DEVELOPMENT AND DEPLOYMENT -1819",Pijush Ghosh
10,IC Engine Driven Quadrotor Biplane Tailsitter,"Department of Science & Technology - INNOVATION, TECHNOLOGY DEVELOPMENT AND DEPLOYMENT -1819",Ramakrishna P A
11,"An Integrative Approach for Understanding the Structure, Function and Dynamics of HIV Protease: Applications to Design Novel Inhibitors",Department of Science & Technology - Research and Development -3237,Michael Gromiha M
12,Tribological Devices by Ultrashort Laser Pulse Texturing: high-throughput and Precision,"Department of Science & Technology - INNOVATION, TECHNOLOGY DEVELOPMENT AND DEPLOYMENT -1819",Sivarama Krishnan
13,Setting up of an High End Imaging Facility (FIST Program 2019),Department of Science & Technology - FIST - Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions (FIST) Program,Sanjib Senapati
14,"Fingerprinting Authenticity of Ayurvedic preparations using Ambient Electrospray Deposition Raman Spectroscopy (AERS), a Home-grown Method for Rapid Analysis","Department of Science & Technology - INNOVATION, TECHNOLOGY DEVELOPMENT AND DEPLOYMENT -1819",Pradeep T
15,Catalytic Hydrodeoxygenation of Pyrolytic-oil produced from copyrolysis of agricultural residue and plastic waste,"Department of Science & Technology - INNOVATION, TECHNOLOGY DEVELOPMENT AND DEPLOYMENT -1819",Vinu R
16,"Demonstration and Deployment of Community Level Integrated Autonomous Solar Energy System for Space Heating, Drying and Cooking Purposes in Ladakh Region (Sunshine Ladakh)","Department of Science & Technology - INNOVATION, TECHNOLOGY DEVELOPMENT AND DEPLOYMENT -1819",Srinivas Reddy K
17,Assessment of Hydrological impacts due to Climate change and development of Best Irrigation and Crop Management Strategies that increases the Resilience: Cauvery and Tamiraparani River Basins- Phase II,Indian Council of Agricultural Research - Others,Balaji Narasimhan
18,Development of a Diagnostic Device for Affordable and Early Detection of Pre-Eclampsia,Indian Council of Medical Research - Others,Raghavendra Sai V V
19,Exploring the Role of Leucine-rich repeat-containing 8B (LRRC8B) Protein in Cognition,Indian Council of Medical Research - Others,Amal Kanti
20,"ICMR-DHR-CoE, IIT Madras",Indian Council of Medical Research - Others,Mohanasankar S
21,"Establishment of Institutional Resource Centre for Manpower training in ""Regulatory Guidelines for medical devices and Research Ethics.""",Indian Council of Medical Research - Others,Madhulika Dixit
22,ICMR-National Center for Assistive Health Technologies,Indian Council of Medical Research - Others,Sujatha Srinivasan
23,Fatigue Studies on Influence of Hybridization and Patch lay-up Configuration of Post-Impact Response on Repaired Composites for Defence Applications,Armament Research Board - Others,Arockiarajan A
24,Mechanisms and Functions of Methyl-binding Proteins in Virulence Genes Expression of the Human Malaria Parasite.,Department of Biotechnology - Biotechnology Research and Development -0150,Arumugam
25,Development of hydrogels based on zwitterionic polymers with antibiofouling properties to mitigate foreign body response on implant surface,Department of Biotechnology - Research Associate,Vignesh MuthuVijayan
26,Nyquist Photonic Analog to Digital Converter for instantaneous frequency measurement,Indian National Academy of Engineering - Others,Deepa Venkitesh
27,Spent Battery Recycling into Electrocatalyst for Ammonia Production and Raw Materials for New Batteries,"Department of Science and Technology - INNOVATION, TECHNOLOGY DEVELOPMENT AND DEPLOYMENT -1819",Kothandaraman Ramanujam
28,"Sublattice Distortion Tailored A2B'B""X6(A=Cs, B'= Ag, Na; B""=In, Bi, Sb); X =CI,Br) Inorganic Perovskites for Optoelectronic and Photovoltaic Applications",Science and Engineering Research Board - CRGX - Core Research Grant,Sudakar Chandran
29,Green and Recyclable Covalent Organic Framework (COF) for Photoorganocatalytic C-H Activation: An Investigation of Novel Drug Leads,Science and Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Sekar G
30,ARTSENS Age: A multimodal Method & System for Reliable Assessment of Vascular Ageing Associated Early Health Markers in Routine Clinical Practice for Early Screening & Timely Intervention,Science and Engineering Research Board - CRGX - Core Research Grant,Jayaraj Joseph
31,Quest for low-field large magnetoresistance at Room temperature and quantum effect in the La0.7Sr0.3MnO3 – LaAlO3 superlattice,Science and Engineering Research Board - CRGX - Core Research Grant,Prahallad Padhan
32,Biomimetic Nanotheranostics: A Novel Weapon Towards Chronic Myeloid Leukemia Management.,Science and Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Mishra A K
33,"Development of a Thermodynamical Framework to Predict Residual Stress, Shrinkage and Warpage during Additive Manufacturing of Crystallizing Polymers",Science and Engineering Research Board - MATR - MATHEMATICAL RESEARCH IMPACT-CENTRIC SUPPORT (MATRICS) SCHEME,Krishnakannan
34,Design and Development of a Soil Analysis System,Science and Engineering Research Board - SERB-Power Fellowship,Shanti Bhattacharya
35,Carbon Based Materials with High Antibacterial Activity for Face Mask Application to Combat Covid-19,Science and Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Sathyanarayana N Gummadi
36,Linking Atomically Resolved 3D Local Structure with Synthesis Methods and Electronic Properties of MXenes; a New class of 2D Energy Storage Material,Science and Engineering Research Board - CRGX - Core Research Grant,Somnath Bhattacharyya
37,Reconfigurable Bidirectional LC-LC Resonant Battery charger for Microgrid Applications,Science and Engineering Research Board - SERB-Power Fellowship,Lakshminarasamma N
38,Investigation on Electromagnetic Wave Propagation in a Photonic Crystal having Temporal Dependence of Impedance,Science and Engineering Research Board - CRGX - Core Research Grant,Subramanian V
39,Improvement in Stretch Flangeabiliy of Sheet Metals for Automotive Applications,Science and Engineering Research Board - CRGX - Core Research Grant,Uday Chakkingal
40,Novel SET Oxidative Cyclization of Ylide: Synthesis of Functionalized Ring Systems,Science and Engineering Research Board - CRGX - Core Research Grant,Baskaran S
41,VAJRA Visiting Faculty - Prof. Sashi Satpathy,Science and Engineering Research Board - Visiting Advanced Joint Research Faculty Scheme,Ranjit Kumar Nanda
42,Use of Low-Grade Limestone in Binary and Ternary Cementitious Binders for Concrete,Science and Engineering Research Board - CRGX - Core Research Grant,Manu Santhanam
43,Investigation of dust free regions near interfaces in turbulent convection,Science and Engineering Research Board - CRGX - Core Research Grant,Baburaj A P
44,Studying the role of pulmonary endothelial micro-vesicles in ventilator-induced lung injury under antihypertension therapy.,Science and Engineering Research Board - CRGX - Core Research Grant,Saumendra Kumar Bajpai
45,Efficient Algorithms for Dualization Problem for Subclasses of Boolean Functions,Science and Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Jayalal Sarma M N
46,Exploration Of Semiconductor Materials as New Photocatalysts for Organic Synthesis,Science and Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Md Mahiuddin Baidya
47,Study of Self-Powered Wearable Tribo-Electric Nano Generator Fabrics with Different Contact Modes.,Science and Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Sudakar Chandran
48,Studies on Mixing and Combustion of Methane-Air in the Presence of a Vortex Flow Field,Science and Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Raghavan V
49,Development of Deep Reinforcement Learning based Socially Aware Autonomous Mobile Robot Navigation Scheme for Hospital Environment,Science and Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Asokan Thondiyath
50,Development of Novel 2D Organic-Inorganic Hybrid Halide Perovskite Materials For Efficient Photovoltaic Applications,Science and Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Jatindra Kumar Rath
51,Additive Manufacturing Of Osteogenic and Infection Resistence Bone Tissue Engineering Scaffolds,Science and Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Sankaran S
52,Techniques to Improve GPU Memory Capacity in Heterogenous Systems,Science and Engineering Research Board - CRGX - Core Research Grant,Madhu Mutyam
53,Optimizing Supersonic Co-Axial Nozzle Design for Mixing Enhancement,Science and Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Muruganandam T M
54,Prediction of Interfacial Thermal Resistance at solid-Liquid interfaces using Molecular Dynamics simulations and Machine Learning,Science and Engineering Research Board - CRGX - Core Research Grant,Sarith P Sathian
55,Wideband Filtering Analog to Digital Converters,Science and Engineering Research Board - CRGX - Core Research Grant,Shanthi Pavan
56,"Polygeneration of Green Diesel, Hydrogen and Electricity using Waste Cooking Oil",Science and Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Anand K
57,A Generalized Rate Type Model for Fatigue Damage,Science and Engineering Research Board - MATR - MATHEMATICAL RESEARCH IMPACT-CENTRIC SUPPORT (MATRICS) SCHEME,Alagappan Ponnalagu
58,Efficacy of HSP90 Mitochondrial Targeting of Withanolide A & Withaferin A in Hepatocellular Carcinoma,Science and Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Michael Gromiha M
59,Development of an Improved Multivariate Machine Learning Solution with Additional Features for Non- Invasive Anemia Detection,Science and Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Raghavendra Sai V V
60,"Nano, micro whispers and their applications in imaging technologies",Science and Engineering Research Board - CRGX - Core Research Grant,Prem B Bisht
61,Explosive resonant interactions with singular eigenfunctions?,Science and Engineering Research Board - MATR - MATHEMATICAL RESEARCH IMPACT-CENTRIC SUPPORT (MATRICS) SCHEME,Anubhab Roy
62,Understanding the Interplay between P21 activated kinase 1 and pancreatic stellate cells of tumor microenvironment in deregulating cellular energetics in cancer cells,Science and Engineering Research Board - CRGX - Core Research Grant,Suresh Kumar Rayala
63,Hybrid Intelligent Systems in Driving Autonomy,Science and Engineering Research Board - CRGX - Core Research Grant,Ramkrishna Pasumarthy
64,Computational Fluid Dynamics based tools to the aid of clinical decision making in the management of intracranial aneurysms,Science and Engineering Research Board - Scientific and Useful Profound Research Advancement (SUPRA),Prasad Patnaik B S V
65,Exploring New Algorithmic Methods for Computing with Full Memory,Science and Engineering Research Board - CRGX - Core Research Grant,Jayalal Sarma M N
66,Drop Spreading and Imbibition of Structured Fluids: Development of a Diagnostic and Screening Tool,Science and Engineering Research Board - Scientific and Useful Profound Research Advancement (SUPRA),Abhijit Deshpande P
67,‘Indigenous 5G Test Bed’- regarding the Operation & Maintenance (O&M) of the Test Bed,Department of Telecommunications - Others,Ganti Radha Krishnan
68,Robust Additive Manufacturing of Functional Lightweight Integrated Customisable Metallic Structures (RAMFLICS),Indo German Science & Technology Centre - Others,Murugaiyan Amirthalingam
